Variable, Spoken Form
clickable
object_menu,object menu
obj_type,object type
cur_msg,current message
val,value
conjunction
prop_list,property list
output
icon_names,icon names
rev_key,reverse key
cur_val,current value
parts
word_list,words
w,double you
t,text
hz_pos,horizontal position
vt_pos,vertical position
rect,rectangle
crop_pos,crop position
prop_val,property value
trg_val,target value
x_offset,ex offset
y_offset,I offset
splitter
full_msg,full message
rep,representation
a_k_d_comp_rep,near components
bf,buffer
len_A,length a
lastD,last distance
ei,effective interval
bf_pct,buffer percent
trg_area,target area
aspect_ratio,aspect ratio
fig_w,figure width
fig_h,figure height
scale_factor,scale factor
lbl,label
selection
marked_elements,marked elements
container
pattern
grandchild
container
