Word(s),Spoken Form (If Different)
nmap,N map
under-documented,under documented
nmap
admin
Cisco
Citrix
VPN
DNS
Minecraft
GIS,G I S
choropleth
ArcGIS Pro
1.	tobler,proper noun
Gini coefficient,noun
CaGIS,cages
